timeInsert
,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
200000,78,62,82,90,103,196,173,190,191,
400000,254,187,123,161,148,194,128,152,225,
500000,179,160,213,136,294,362,170,219,203,
600000,379,251,226,245,254,254,282,494,517,
700000,570,400,324,320,289,306,315,397,288,
800000,783,513,436,403,379,356,373,344,315,
timeFind(Successful)
,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
200000,93,48,78,78,60,91,117,95,62,
400000,255,92,96,103,124,282,201,206,207,
500000,160,156,129,128,127,394,160,188,157,
600000,384,179,151,248,221,211,219,239,224,
700000,817,306,259,251,271,191,205,233,315,
800000,975,597,865,318,324,327,288,288,323,
timeFind(Unsuccessful)
,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
200000,49,86,58,61,84,73,83,80,91,
400000,107,111,263,225,286,155,217,229,198,
500000,143,197,198,179,277,195,175,378,311,
600000,165,268,262,189,310,231,313,332,345,
700000,203,453,251,328,245,284,282,289,277,
800000,1010,775,923,497,367,371,391,405,383,
